building,floor,room_number,room_label,room_type,room_type_label,capacity,corridor_relationship,cell,row,column,source_text,source_kind,unavailable,unavailable_reason
휴락동,2,205,205호,unavailable,비품실,0,north_of_corridor,F23,23,6,205호,service_override,True,비품실
휴락동,2,204,204호,ondol_4,4인실 온돌,4,north_of_corridor,G23,23,7,204호,inferred,False,
휴락동,2,203,203호,ondol_4,4인실 온돌,4,north_of_corridor,H23,23,8,203호,inferred,False,
휴락동,2,202,202호,ondol_4,4인실 온돌,4,north_of_corridor,I23,23,9,202호,inferred,False,
휴락동,2,201,201호,ondol_4,4인실 온돌,4,north_of_corridor,J23,23,10,201호,inferred,False,
휴락동,2,223,223호,ondol_4,4인실 온돌,4,north_of_corridor,N23,23,14,223호,inferred,False,
휴락동,2,222,222호,ondol_4,4인실 온돌,4,north_of_corridor,O23,23,15,222호,inferred,False,
휴락동,2,221,221호,ondol_4,4인실 온돌,4,north_of_corridor,P23,23,16,221호,inferred,False,
휴락동,2,220,220호,ondol_4,4인실 온돌,4,north_of_corridor,Q23,23,17,220호,inferred,False,
휴락동,2,208,208호,unavailable,미화원실,0,south_of_corridor,D28,28,4,208호,service_override,True,미화원실
휴락동,2,209,209호,unavailable,비품실,0,south_of_corridor,E28,28,5,209호,service_override,True,비품실
휴락동,2,210,210호,ondol_4,4인실 온돌,4,south_of_corridor,F28,28,6,210호,inferred,False,
휴락동,2,211,211호,ondol_4,4인실 온돌,4,south_of_corridor,G28,28,7,211호,inferred,False,
휴락동,2,212,212호,ondol_4,4인실 온돌,4,south_of_corridor,H28,28,8,212호,inferred,False,
휴락동,2,213,213호,ondol_4,4인실 온돌,4,south_of_corridor,I28,28,9,213호,inferred,False,
휴락동,2,214,214호,ondol_4,4인실 온돌,4,south_of_corridor,L28,28,12,214호,inferred,False,
휴락동,2,215,215호,ondol_4,4인실 온돌,4,south_of_corridor,M28,28,13,215호,inferred,False,
휴락동,2,216,216호,ondol_4,4인실 온돌,4,south_of_corridor,N28,28,14,216호,inferred,False,
휴락동,2,217,217호,ondol_4,4인실 온돌,4,south_of_corridor,O28,28,15,217호,inferred,False,
휴락동,2,218,218호,ondol_4,4인실 온돌,4,south_of_corridor,P28,28,16,218호,inferred,False,
휴락동,2,219,219호,ondol_4,4인실 온돌,4,south_of_corridor,Q28,28,17,219호,inferred,False,
동락홀,2,210,210호,12_person,12인실,12,north_of_corridor,F33,33,6,210호(12인실),explicit,False,
동락홀,2,208,208호,6_person,6인실,6,north_of_corridor,J33,33,10,208호(6인실),explicit,False,
동락홀,2,206,206호,6_person,6인실,6,north_of_corridor,L33,33,12,206호(6인실),explicit,False,
동락홀,2,204,204호,6_person,6인실,6,north_of_corridor,N33,33,14,204호(6인실),explicit,False,
동락홀,2,202,202호,6_person,6인실,6,north_of_corridor,P33,33,16,202호(6인실),explicit,False,
동락홀,2,209,209호,12_person,12인실,12,south_of_corridor,F38,38,6,209호(12인실),explicit,False,
동락홀,2,207,207호,6_person,6인실,6,south_of_corridor,J38,38,10,207호(6인실),explicit,False,
동락홀,2,205,205호,6_person,6인실,6,south_of_corridor,L38,38,12,205호(6인실),explicit,False,
동락홀,2,203,203호,6_person,6인실,6,south_of_corridor,N38,38,14,203호(6인실),explicit,False,
동락홀,2,201,201호,6_person,6인실,6,south_of_corridor,P38,38,16,201호(6인실),explicit,False,
